#,Name,Type,Attack,Defense,HP,Catch,Flee,Fast Moves,Charge Moves
0136,Flareon,Fire,246,179,163,12.5%,6%,EmberFire Spin,Fire BlastFlamethrowerOverheatHeat Wave (legacy)Last Resort (Community Day)Superpower (Community Day)
0137,Porygon,Normal,153,136,163,40%,9%,Charge BeamHidden PowerTackle (legacy)Zen Headbutt (legacy),Hyper BeamSolar BeamZap CannonDischarge (legacy)Psybeam (legacy)Signal Beam (legacy)Frustration (Shadow)Return (Purified)
0138,Omanyte,Rock Water,155,153,111,40%,9%,Mud ShotWater Gun,Ancient PowerBubble BeamRock BlastBrine (legacy)Rock Tomb (legacy)Frustration (Shadow)Return (Purified)
0139,Omastar,Rock Water,207,201,172,15%,5%,Mud ShotWater GunRock Throw (legacy),Ancient PowerHydro PumpRock BlastRock Slide (legacy)Frustration (Shadow)Return (Purified)
0140,Kabuto,Rock Water,148,140,102,40%,9%,Mud ShotScratch,Ancient PowerAqua JetRock TombFrustration (Shadow)Return (Purified)
0141,Kabutops,Rock Water,220,186,155,15%,5%,Mud ShotRock SmashWaterfallFury Cutter (legacy),Ancient PowerStone EdgeWater PulseFrustration (Shadow)Return (Purified)
0142,Aerodactyl,Rock Flying,221,159,190,20%,9%,BiteRock ThrowSteel Wing,Ancient PowerEarth PowerHyper BeamIron HeadRock SlideFrustration (Shadow)Return (Purified)
0142,Aerodactyl Mega Aerodactyl,Rock Flying,292,210,190,20%,9%,,
0143,Snorlax,Normal,190,169,330,5%,9%,LickZen HeadbuttYawn (legacy),Body SlamEarthquakeHeavy SlamHyper BeamOutrageSkull BashSuperpowerFrustration (Shadow)Return (Purified)
0144,Articuno,Ice Flying,192,236,207,3%,10%,Frost BreathIce Shard,Ancient PowerBlizzardIce BeamIcy WindTriple AxelHurricane (legacy)Frustration (Shadow)Return (Purified)
0144,Articuno Galarian Articuno,Psychic Flying,250,197,207,0.3%,90%,ConfusionPsycho Cut,Ancient PowerBrave BirdFuture SightFrustration (Shadow)Return (Purified)
0145,Zapdos,Electric Flying,253,185,207,3%,10%,Charge BeamThunder Shock (legacy),Ancient PowerDrill PeckThunderThunderboltZap CannonFrustration (Shadow)Return (Purified)
0145,Zapdos Galarian Zapdos,Fighting Flying,252,189,207,0.3%,90%,Counter,Ancient PowerBrave BirdClose CombatFrustration (Shadow)Return (Purified)
0146,Moltres,Fire Flying,251,181,207,3%,10%,Fire SpinWing Attack,Ancient PowerFire BlastHeat WaveOverheatSky Attack (legacy)Frustration (Shadow)Return (Purified)
0146,Moltres Galarian Moltres,Dark Flying,202,231,207,0.3%,90%,Sucker PunchWing Attack,Ancient PowerBrave BirdPaybackFrustration (Shadow)Return (Purified)
0147,Dratini,Dragon,119,91,121,40%,9%,Dragon BreathIron Tail,Aqua TailTwisterWrapFrustration (Shadow)Return (Purified)
0148,Dragonair,Dragon,163,135,156,10%,6%,Dragon BreathIron Tail,Aqua TailBody SlamDragon PulseWrapFrustration (Shadow)Return (Purified)
0149,Dragonite,Dragon Flying,263,198,209,5%,5%,Dragon BreathDragon TailSteel Wing,Dragon ClawHurricaneHyper BeamOutrageSuperpowerDragon Pulse (legacy)Draco Meteor (Community Day)Frustration (Shadow)Return (Purified)
0150,Mewtwo,Psychic,300,182,214,6%,10%,ConfusionPsycho Cut,FlamethrowerFocus BlastIce BeamPsychicThunderboltHyper Beam (legacy)Psystrike (legacy)Shadow Ball (legacy)Frustration (Shadow)Return (Purified)
0150,Mewtwo Armored Mewtwo,Psychic,182,278,214,6%,0%,ConfusionIron Tail,Dynamic PunchEarthquakeFuture SightRock SlidePsystrike (legacy)Frustration (Shadow)Return (Purified)
0151,Mew,Psychic,210,210,225,100%,0%,Charge BeamCutDragon TailFrost BreathInfestationPoison JabPoundRock SmashShadow ClawSnarlSteel WingStruggle BugVolt SwitchWaterfall,Ancient PowerBlizzardBulldozeDark PulseDazzling GleamDragon ClawEnergy BallFlame ChargeFlash CannonFocus BlastGrass KnotGyro BallHyper BeamIce BeamLow SweepOverheatPsychicPsyshockRock SlideSolar BeamStone EdgeSurfThunderThunderboltWild Charge
0152,Chikorita,Grass,92,122,128,20%,10%,Magical LeafTackleVine Whip,Body SlamEnergy BallGrass KnotFrustration (Shadow)Return (Purified)
0153,Bayleef,Grass,122,155,155,12.5%,7%,Magical LeafRazor LeafTackle,Ancient PowerEnergy BallGrass KnotFrustration (Shadow)Return (Purified)
0154,Meganium,Grass,168,202,190,5%,5%,Magical LeafRazor LeafVine Whip,EarthquakePetal BlizzardSolar BeamFrenzy Plant (Community Day)Frustration (Shadow)Return (Purified)
0155,Cyndaquil,Fire,116,93,118,20%,10%,EmberTackle,Flame ChargeFlamethrowerSwiftFrustration (Shadow)Return (Purified)
0156,Quilava,Fire,158,126,151,12.5%,7%,EmberTackle,DigFlame ChargeFlamethrowerFrustration (Shadow)Return (Purified)
0157,Typhlosion,Fire,223,173,186,5%,5%,EmberIncinerateShadow Claw,Fire BlastOverheatSolar BeamBlast Burn (Community Day)Frustration (Shadow)Return (Purified)
0157,Typhlosion Hisuian Typhlosion,Fire Ghost,238,172,177,5%,5%,EmberHex,Fire PunchOverheatShadow BallWild ChargeFrustration (Shadow)Return (Purified)
0158,Totodile,Water,117,109,137,20%,10%,ScratchWater Gun,Aqua JetCrunchWater PulseFrustration (Shadow)Return (Purified)
0159,Croconaw,Water,150,142,163,12.5%,7%,ScratchWater Gun,CrunchIce PunchWater PulseFrustration (Shadow)Return (Purified)
0160,Feraligatr,Water,205,188,198,5%,5%,BiteIce FangWaterfallWater Gun (legacy),CrunchHydro PumpIce BeamHydro Cannon (Community Day)Frustration (Shadow)Return (Purified)
0161,Sentret,Normal,79,73,111,50%,20%,Quick AttackScratch,Brick BreakDigGrass Knot
0162,Furret,Normal,148,125,198,15%,7%,Quick AttackSucker Punch,Brick BreakDigHyper Beam
0163,Hoothoot,Normal Flying,67,88,155,50%,15%,Feint AttackPeck,Aerial AceNight ShadeSky Attack
0164,Noctowl,Normal Flying,145,156,225,15%,7%,ExtrasensoryWing Attack,Night ShadePsychicShadow BallSky Attack
0165,Ledyba,Bug Flying,72,118,120,50%,20%,Bug BiteTackle,Aerial AceSilver WindSwiftFrustration (Shadow)Return (Purified)
0166,Ledian,Bug Flying,107,179,146,15%,7%,Bug BiteStruggle Bug,Aerial AceBug BuzzDynamic PunchSilver WindFrustration (Shadow)Return (Purified)
0167,Spinarak,Bug Poison,105,73,120,50%,20%,Bug BitePoison Sting,Cross PoisonNight SlashSignal Beam
0168,Ariados,Bug Poison,161,124,172,15%,7%,InfestationPoison Sting,Cross PoisonLungeMegahornShadow SneakTrailblaze
0169,Crobat,Poison Flying,194,178,198,10%,5%,Air SlashBite,Air CutterCross PoisonPoison FangShadow BallSludge BombFrustration (Shadow)Return (Purified)
0170,Chinchou,Water Electric,106,97,181,40%,10%,BubbleSpark,Bubble BeamThunderboltWater Pulse
0171,Lanturn,Water Electric,146,137,268,15%,7%,Charge BeamSparkWater Gun,Hydro PumpSurfThunderThunderbolt
0172,Pichu,Electric,77,53,85,25%,5%,Thunder Shock,Disarming VoiceThunder PunchThunderbolt
0173,Cleffa,Fairy,75,79,137,25%,5%,PoundZen Headbutt,Grass KnotPsyshockSignal BeamBody Slam (legacy)Psychic (legacy)
0174,Igglybuff,Normal Fairy,69,32,207,25%,5%,Feint AttackPound,PsychicShadow BallWild ChargeBody Slam (legacy)
0175,Togepi,Fairy,67,116,111,25%,5%,Hidden PowerPeckZen Headbutt (legacy),Ancient PowerDazzling GleamPsyshock
0176,Togetic,Fairy Flying,139,181,146,20%,5%,ExtrasensoryFairy WindHidden PowerSteel Wing (legacy)Zen Headbutt (legacy),Aerial AceAncient PowerDazzling Gleam
0177,Natu,Psychic Flying,134,89,120,40%,15%,PeckQuick Attack,Drill PeckNight ShadePsyshockFrustration (Shadow)Return (Purified)
0178,Xatu,Psychic Flying,192,146,163,15%,7%,Air SlashFeint Attack,Aerial AceFuture SightOminous WindFrustration (Shadow)Return (Purified)
0179,Mareep,Electric,114,79,146,50%,10%,TackleThunder Shock,Body SlamDischargeThunderboltTrailblazeFrustration (Shadow)Return (Purified)
0180,Flaaffy,Electric,145,109,172,25%,7%,Charge BeamTackle,DischargePower GemThunderboltTrailblazeFrustration (Shadow)Return (Purified)
0181,Ampharos,Electric,211,169,207,12.5%,5%,Charge BeamVolt Switch,Brutal SwingFocus BlastPower GemThunderThunder PunchTrailblazeZap CannonDragon Pulse (Community Day)Frustration (Shadow)Return (Purified)
0181,Ampharos Mega Ampharos,Electric Dragon,294,203,207,12.5%,5%,,
0182,Bellossom,Grass,169,186,181,5%,5%,AcidBullet SeedMagical LeafRazor Leaf,Dazzling GleamLeaf BladePetal BlizzardFrustration (Shadow)Return (Purified)
0183,Marill,Water Fairy,37,93,172,50%,10%,BubbleTackle,Aqua TailBody SlamBubble Beam
0184,Azumarill,Water Fairy,112,152,225,15%,7%,BubbleRock Smash,Hydro PumpIce BeamPlay Rough
0185,Sudowoodo,Rock,167,176,172,12.5%,5%,CounterRock Throw,EarthquakeMeteor BeamRock SlideRock TombStone EdgeTrailblazeFrustration (Shadow)Return (Purified)
0186,Politoed,Water,174,179,207,10%,5%,BubbleMud Shot,BlizzardHydro PumpScaldSurfWeather Ball - WaterEarthquake (legacy)Ice Beam (Community Day)Frustration (Shadow)Return (Purified)
0187,Hoppip,Grass Flying,67,94,111,50%,12%,Bullet SeedTackle,Dazzling GleamGrass KnotSeed BombFrustration (Shadow)Return (Purified)
0188,Skiploom,Grass Flying,91,120,146,25%,7%,Bullet SeedTackle,Dazzling GleamEnergy BallGrass KnotFrustration (Shadow)Return (Purified)
0189,Jumpluff,Grass Flying,118,183,181,12.5%,5%,Bullet SeedFairy WindInfestation,Aerial AceDazzling GleamEnergy BallSolar BeamAcrobatics (Community Day)Frustration (Shadow)Return (Purified)
0190,Aipom,Normal,136,112,146,20%,9%,AstonishScratch,Aerial AceLow SweepSwiftFrustration (Shadow)Return (Purified)
0191,Sunkern,Grass,55,55,102,50%,9%,CutRazor Leaf,Energy BallGrass KnotSeed Bomb
0192,Sunflora,Grass,185,135,181,10%,7%,Bullet SeedRazor Leaf,Leaf StormPetal BlizzardSludge BombSolar Beam
0193,Yanma,Bug Flying,154,94,163,30%,10%,Quick AttackWing Attack,Aerial AceAncient PowerSilver Wind
0194,Wooper,Water Ground,75,66,146,40%,10%,Mud ShotWater Gun,Body SlamDigMud BombFrustration (Shadow)Return (Purified)
0194,Wooper Paldean Wooper,Poison Ground,75,66,146,40%,10%,Mud ShotPoison Jab,Body SlamDigSludge WaveFrustration (Shadow)Return (Purified)
0195,Quagsire,Water Ground,152,143,216,15%,7%,Mud ShotWater Gun,Acid SprayEarthquakeMud BombSludge BombStone EdgeAqua Tail (Community Day)Frustration (Shadow)Return (Purified)
0196,Espeon,Psychic,261,175,163,12.5%,5%,ConfusionZen Headbutt,Future SightPsybeamPsychicPsychic FangsLast Resort (Community Day)Shadow Ball (Community Day)
0197,Umbreon,Dark,126,240,216,12.5%,5%,Feint AttackSnarl,Dark PulseFoul PlayLast Resort (Community Day)Psychic (Community Day)
0198,Murkrow,Dark Flying,175,87,155,20%,10%,Feint AttackPeck,Dark PulseDrill PeckFoul PlayFrustration (Shadow)Return (Purified)
0199,Slowking,Water Psychic,177,180,216,10%,5%,ConfusionWater Gun,BlizzardFire BlastPsychicScaldSurf (Community Day)Frustration (Shadow)Return (Purified)
0199,Slowking Galarian Slowking,Poison Psychic,190,180,216,10%,5%,AcidConfusionHex,Future SightScaldShadow BallSludge WaveSurf (Community Day)Frustration (Shadow)Return (Purified)
0200,Misdreavus,Ghost,167,154,155,30%,7%,AstonishHex,Dark PulseOminous WindShadow SneakFrustration (Shadow)Return (Purified)
0201,Unown,Psychic,136,91,134,30%,10%,Hidden Power,Struggle
0202,Wobbuffet,Psychic,60,106,382,25%,7%,CharmCounterSplash,Mirror CoatFrustration (Shadow)Return (Purified)
0203,Girafarig,Normal Psychic,182,133,172,30%,7%,ConfusionDouble KickTackle,Mirror CoatPsychicPsychic FangsThunderboltTrailblazeFrustration (Shadow)Return (Purified)
0204,Pineco,Bug,108,122,137,40%,12%,Bug BiteTackle,Gyro BallRock TombSand TombFrustration (Shadow)Return (Purified)
0205,Forretress,Bug Steel,161,205,181,15%,7%,Bug BiteStruggle Bug,EarthquakeHeavy SlamMirror ShotRock TombSand TombFrustration (Shadow)Return (Purified)
0206,Dunsparce,Normal,131,128,225,30%,20%,AstonishBiteRollout,DigDrill RunRock Slide
0207,Gligar,Ground Flying,143,184,163,20%,7%,Fury CutterWing Attack,Aerial AceDigNight SlashFrustration (Shadow)Return (Purified)
0208,Steelix,Steel Ground,148,272,181,10%,5%,Dragon TailIron TailThunder Fang,Breaking SwipeCrunchEarthquakeHeavy SlamPsychic FangsFrustration (Shadow)Return (Purified)
0208,Steelix Mega Steelix,Steel Ground,212,327,181,10%,5%,,
0209,Snubbull,Fairy,137,85,155,40%,10%,BiteTackle,Brick BreakCrunchDazzling GleamFrustration (Shadow)Return (Purified)
0210,Granbull,Fairy,212,131,207,15%,8%,BiteCharmSnarl,Close CombatCrunchPlay RoughFrustration (Shadow)Return (Purified)
0211,Qwilfish,Water Poison,184,138,163,30%,8%,Poison StingWater Gun,Acid SprayAqua TailFell StingerIce BeamScaldSludge Wave
0211,Qwilfish Hisuian Qwilfish,Dark Poison,184,151,163,30%,8%,Poison JabPoison Sting,Aqua TailDark PulseIce BeamShadow BallSludge Bomb
0212,Scizor,Bug Steel,236,181,172,5%,5%,Bullet PunchFury Cutter,Iron HeadNight SlashTrailblazeX-ScissorFrustration (Shadow)Return (Purified)
0212,Scizor Mega Scizor,Bug Steel,279,250,172,5%,5%,,
0213,Shuckle,Bug Rock,17,396,85,30%,7%,Rock ThrowStruggle Bug,Gyro BallRock BlastStone EdgeFrustration (Shadow)Return (Purified)
0214,Heracross,Bug Fighting,234,179,190,30%,9%,CounterStruggle Bug,Close CombatEarthquakeMegahornRock Blast
0215,Sneasel,Dark Ice,189,146,146,20%,7%,Feint AttackIce Shard,AvalancheFoul PlayIce PunchTriple AxelFrustration (Shadow)Return (Purified)
0215,Sneasel Hisuian Sneasel,Fighting Poison,189,146,146,20%,7%,Poison JabRock Smash,Aerial AceClose CombatX-ScissorFrustration (Shadow)Return (Purified)
0216,Teddiursa,Normal,142,93,155,50%,20%,LickScratch,Cross ChopCrunchPlay RoughTrailblazeFrustration (Shadow)Return (Purified)
0217,Ursaring,Normal,236,144,207,15%,7%,CounterMetal ClawShadow Claw,Close CombatHyper BeamPlay RoughTrailblazeFrustration (Shadow)Return (Purified)
0218,Slugma,Fire,118,71,120,30%,10%,EmberRock Throw,Flame BurstFlame ChargeRock Slide
0219,Magcargo,Fire Rock,139,191,137,12.5%,6%,EmberIncinerateRock Throw,Heat WaveOverheatRock TombStone Edge
0220,Swinub,Ice Ground,90,69,137,30%,10%,Powder SnowTackle,Body SlamIcy WindRock SlideFrustration (Shadow)Return (Purified)
0221,Piloswine,Ice Ground,181,138,225,12.5%,6%,Ice ShardPowder Snow,AvalancheBulldozeHigh HorsepowerStone EdgeFrustration (Shadow)Return (Purified)
0222,Corsola,Water Rock,118,156,146,30%,12%,BubbleTackle,Bubble BeamPower GemRock Blast
0223,Remoraid,Water,127,69,111,50%,10%,Mud ShotWater Gun,Aurora BeamRock BlastWater Pulse
0224,Octillery,Water,197,141,181,15%,7%,Lock-OnMud ShotWater Gun,Acid SprayAurora BeamGunk ShotOctazookaWater Pulse
0225,Delibird,Ice Flying,128,90,128,20%,20%,Present,Aerial AceFlyIce PunchIcy WindTriple AxelFrustration (Shadow)Return (Purified)
0226,Mantine,Water Flying,148,226,163,30%,7%,BubbleBullet SeedWing Attack,Aerial AceBubble BeamIce BeamWater Pulse
0227,Skarmory,Steel Flying,148,226,163,20%,9%,Air SlashSteel Wing,Brave BirdFlash CannonSky AttackFrustration (Shadow)Return (Purified)
0228,Houndour,Dark Fire,152,83,128,40%,10%,EmberFeint Attack,CrunchDark PulseFlamethrowerFrustration (Shadow)Return (Purified)
0229,Houndoom,Dark Fire,224,144,181,15%,6%,Fire FangSnarl,CrunchFire BlastFlamethrowerFoul PlayFrustration (Shadow)Return (Purified)
0229,Houndoom Mega Houndoom,Dark Fire,289,194,181,15%,6%,,
0230,Kingdra,Water Dragon,194,194,181,10%,5%,Dragon BreathWaterfallWater Gun (legacy),BlizzardHydro PumpOctazookaOutrageFrustration (Shadow)Return (Purified)
0231,Phanpy,Ground,107,98,207,50%,20%,Rock SmashTackle,Body SlamBulldozeRock SlideTrailblazeFrustration (Shadow)Return (Purified)
0232,Donphan,Ground,214,185,207,12.5%,7%,CharmCounterMud-SlapTackle,Body SlamEarthquakeHeavy SlamPlay RoughTrailblazeFrustration (Shadow)Return (Purified)
0233,Porygon2,Normal,198,180,198,5%,5%,Charge BeamHidden PowerLock-On,Hyper BeamSolar BeamTri AttackZap CannonFrustration (Shadow)Return (Purified)
0234,Stantler,Normal,192,131,177,30%,8%,TackleZen Headbutt,MegahornStompWild ChargeFrustration (Shadow)Return (Purified)
0235,Smeargle,Normal,40,83,146,25%,7%,,
0236,Tyrogue,Fighting,64,64,111,25%,20%,Rock SmashTackle,Brick BreakLow SweepRock Slide
0237,Hitmontop,Fighting,173,207,137,10%,5%,CounterRock Smash,Close CombatGyro BallStone EdgeTriple AxelFrustration (Shadow)Return (Purified)
0238,Smoochum,Ice Psychic,153,91,128,25%,20%,PoundPowder SnowFrost Breath (legacy),Ice BeamIce PunchPsyshock
0239,Elekid,Electric,135,101,128,25%,20%,Low KickThunder Shock,Brick BreakDischargeThunder PunchThunderbolt (legacy)
0240,Magby,Fire,151,99,128,25%,20%,EmberKarate Chop,Brick BreakFire PunchFlame BurstFlamethrower (legacy)
0241,Miltank,Normal,157,193,216,20%,8%,RolloutTackleZen Headbutt,Body SlamGyro BallIce BeamStompThunderbolt
0242,Blissey,Normal,129,169,496,5%,5%,PoundZen Headbutt,Dazzling GleamHyper BeamPsychic
0243,Raikou,Electric,241,195,207,2%,4%,Thunder ShockVolt Switch,Shadow BallThunderThunderboltWild ChargeFrustration (Shadow)Return (Purified)
0244,Entei,Fire,235,171,251,2%,4%,Fire FangFire Spin,Fire BlastFlame ChargeFlamethrowerIron HeadOverheatScorching SandsFrustration (Shadow)Return (Purified)
0245,Suicune,Water,180,235,225,2%,4%,ExtrasensoryIce FangSnarlHidden Power (legacy),Bubble BeamHydro PumpIce BeamScaldWater PulseFrustration (Shadow)Return (Purified)
0246,Larvitar,Rock Ground,115,93,137,40%,10%,BiteRock Smash,Ancient PowerCrunchStompFrustration (Shadow)Return (Purified)
0247,Pupitar,Rock Ground,155,133,172,10%,7%,BiteRock Smash,Ancient PowerCrunchDigFrustration (Shadow)Return (Purified)
0248,Tyranitar,Rock Dark,251,207,225,5%,4%,BiteIron TailSmack Down (Community Day),Brutal SwingCrunchFire BlastStone EdgeFrustration (Shadow)Return (Purified)
0248,Tyranitar Mega Tyranitar,Rock Dark,309,276,225,5%,5%,,
0249,Lugia,Psychic Flying,193,310,235,2%,4%,Dragon TailExtrasensory,Future SightHydro PumpSky AttackAeroblast (legacy)Frustration (Shadow)Return (Purified)
0249,Lugia Apex Lugia,Psychic Flying,193,310,235,2%,4%,Dragon TailExtrasensory,Future SightHydro PumpSky AttackAeroblast (legacy)Aeroblast+ (Shadow)Aeroblast++ (Purified)
0250,Ho-oh,Fire Flying,239,244,214,2%,4%,ExtrasensoryHidden PowerIncinerateSteel Wing,Brave BirdFire BlastSolar BeamEarthquake (legacy)Sacred Fire (legacy)Frustration (Shadow)Return (Purified)
0250,Ho-oh Apex Ho-Oh,Fire Flying,239,244,214,2%,4%,ExtrasensoryHidden PowerIncinerateSteel Wing,Brave BirdFire BlastSolar BeamEarthquake (legacy)Sacred Fire (legacy)Sacred Fire+ (Shadow)Sacred Fire++ (Purified)
0251,Celebi,Psychic Grass,210,210,225,100%,0%,Charge BeamConfusionMagical Leaf (legacy),Dazzling GleamHyper BeamLeaf StormPsychicSeed Bomb
0252,Treecko,Grass,124,94,120,20%,10%,Bullet SeedPound,Aerial AceEnergy BallGrass KnotFrustration (Shadow)Return (Purified)
0253,Grovyle,Grass,172,120,137,10%,7%,Bullet SeedQuick Attack,Aerial AceGrass KnotLeaf BladeFrustration (Shadow)Return (Purified)
0254,Sceptile,Grass,223,169,172,5%,5%,Bullet SeedFury Cutter,Aerial AceBreaking SwipeDragon ClawEarthquakeLeaf BladeFrenzy Plant (Community Day)Frustration (Shadow)Return (Purified)
0254,Sceptile Mega Sceptile,Grass Dragon,320,186,172,5%,5%,,
0255,Torchic,Fire,130,87,128,20%,10%,EmberScratch,Flame ChargeFlamethrowerRock TombFrustration (Shadow)Return (Purified)
0256,Combusken,Fire Fighting,163,115,155,10%,7%,EmberPeck,Flame ChargeFlamethrowerRock SlideFrustration (Shadow)Return (Purified)
0257,Blaziken,Fire Fighting,240,141,190,5%,5%,CounterFire Spin,Blaze KickBrave BirdFocus BlastOverheatStone Edge (legacy)Blast Burn (Community Day)Frustration (Shadow)Return (Purified)
0257,Blaziken Mega Blaziken,Fire Fighting,329,168,190,5%,5%,,
0258,Mudkip,Water,126,93,137,20%,10%,TackleWater Gun,DigSludgeStompFrustration (Shadow)Return (Purified)
0259,Marshtomp,Water Ground,156,133,172,10%,7%,Mud ShotWater Gun,Mud BombSludgeSurfFrustration (Shadow)Return (Purified)
0260,Swampert,Water Ground,208,175,225,5%,5%,Mud ShotWater Gun,EarthquakeMuddy WaterSludge WaveSurfHydro Cannon (Community Day)Frustration (Shadow)Return (Purified)
0260,Swampert Mega Swampert,Water Ground,283,218,225,5%,5%,,
0261,Poochyena,Dark,96,61,111,50%,20%,SnarlTackle,CrunchDigPoison FangFrustration (Shadow)Return (Purified)
0262,Mightyena,Dark,171,132,172,20%,7%,BiteFire FangIce FangThunder Fang,CrunchPlay RoughPoison FangFrustration (Shadow)Return (Purified)
0263,Zigzagoon,Normal,58,80,116,50%,20%,Rock SmashTackle,DigGrass KnotThunderboltFrustration (Shadow)Return (Purified)
0263,Zigzagoon Galarian Zigzagoon,Dark Normal,58,80,116,50%,20%,TackleTake Down,Body SlamDigSwiftFrustration (Shadow)Return (Purified)
0264,Linoone,Normal,142,128,186,20%,7%,Shadow ClawTackle,DigGrass KnotThunderFrustration (Shadow)Return (Purified)
0264,Linoone Galarian Linoone,Dark Normal,142,128,186,20%,7%,LickSnarl,Body SlamDigGunk ShotFrustration (Shadow)Return (Purified)
0265,Wurmple,Bug,75,59,128,50%,20%,Bug BiteTackle,Struggle
0266,Silcoon,Bug,60,77,137,25%,9%,Bug BitePoison Sting,Struggle
0267,Beautifly,Bug Flying,189,98,155,12.5%,6%,InfestationStruggle Bug,Air CutterBug BuzzSilver Wind
0268,Cascoon,Bug,60,77,137,25%,9%,Bug BitePoison Sting,Struggle
0269,Dustox,Bug Poison,98,162,155,12.5%,6%,ConfusionStruggle Bug,Bug BuzzSilver WindSludge Bomb
0270,Lotad,Water Grass,71,77,120,50%,20%,Razor LeafWater Gun,Bubble BeamEnergy BallScald
0271,Lombre,Water Grass,112,119,155,25%,9%,BubbleRazor Leaf,Bubble BeamGrass KnotIce BeamScald
0272,Ludicolo,Water Grass,173,176,190,12.5%,6%,BubbleRazor Leaf,BlizzardEnergy BallHydro PumpIce BeamLeaf StormScaldSolar Beam
0273,Seedot,Grass,71,77,120,50%,20%,Bullet SeedQuick Attack,Energy BallFoul PlayGrass KnotFrustration (Shadow)Return (Purified)
0274,Nuzleaf,Grass Dark,134,78,172,25%,9%,Feint AttackRazor Leaf,Foul PlayGrass KnotLeaf BladeFrustration (Shadow)Return (Purified)
0275,Shiftry,Grass Dark,200,121,207,12.5%,6%,Feint AttackRazor LeafSnarlBullet Seed (Community Day),Foul PlayHurricaneLeaf BladeLeaf TornadoFrustration (Shadow)Return (Purified)
0276,Taillow,Normal Flying,106,61,120,50%,20%,PeckQuick Attack,Aerial Ace
0277,Swellow,Normal Flying,185,124,155,20%,7%,Steel WingWing Attack,Aerial AceBrave BirdSky Attack
0278,Wingull,Water Flying,106,61,120,50%,20%,Quick AttackWater Gun,Air CutterIce BeamWater Pulse
0279,Pelipper,Water Flying,175,174,155,20%,7%,Water GunWing Attack,BlizzardHurricaneHydro PumpWeather Ball - Water
0280,Ralts,Psychic Fairy,79,59,99,40%,9%,Charge BeamConfusion,Disarming VoicePsyshockShadow SneakFrustration (Shadow)Return (Purified)
0281,Kirlia,Psychic Fairy,117,90,116,10%,6%,Charge BeamConfusionMagical Leaf,Disarming VoicePsychicShadow SneakTriple AxelFrustration (Shadow)Return (Purified)
0282,Gardevoir,Psychic Fairy,237,195,169,5%,5%,Charge BeamCharmConfusionMagical Leaf,Dazzling GleamPsychicShadow BallTriple AxelSynchronoise (Community Day)Frustration (Shadow)Return (Purified)
0282,Gardevoir Mega Gardevoir,Psychic Fairy,326,229,169,5%,5%,,
0283,Surskit,Bug Water,93,87,120,50%,20%,BubbleBug Bite,Aqua JetBubble BeamSignal Beam
0284,Masquerain,Bug Flying,192,150,172,20%,7%,Air SlashInfestation,Air CutterBubble BeamLungeOminous WindSilver Wind
0285,Shroomish,Grass,74,110,155,50%,20%,Bullet SeedTackle,Energy BallGrass KnotSeed Bomb
0286,Breloom,Grass Fighting,241,144,155,20%,7%,Bullet SeedCounter,Dynamic PunchSeed BombSludge BombGrass Knot (legacy)
0287,Slakoth,Normal,104,92,155,40%,9%,Yawn,Body SlamBrick BreakNight Slash
0288,Vigoroth,Normal,159,145,190,10%,6%,CounterScratch,Body SlamBrick BreakBulldozeRock Slide
0289,Slaking,Normal,290,166,284,5%,5%,Yawn,EarthquakeHyper BeamPlay RoughBody Slam (Community Day)
0290,Nincada,Bug Ground,80,126,104,20%,10%,Bug BiteScratch,Aerial AceBug BuzzNight Slash
0291,Ninjask,Bug Flying,199,112,156,10%,7%,Fury CutterMetal Claw,Aerial AceBug BuzzShadow Ball
0292,Shedinja,Bug Ghost,153,73,1,5%,5%,Bug BiteShadow ClawStruggle Bug (legacy),Aerial AceDigShadow Sneak
0293,Whismur,Normal,92,42,162,50%,20%,AstonishPound,Disarming VoiceFlamethrowerStompFrustration (Shadow)Return (Purified)
0294,Loudred,Normal,134,81,197,25%,9%,BiteRock Smash,Disarming VoiceFlamethrowerStompFrustration (Shadow)Return (Purified)
0295,Exploud,Normal,179,137,232,12.5%,6%,AstonishBite,BoomburstCrunchDisarming VoiceFire BlastFrustration (Shadow)Return (Purified)
0296,Makuhita,Fighting,99,54,176,50%,10%,Rock SmashTackle,Cross ChopHeavy SlamLow SweepFrustration (Shadow)Return (Purified)
0297,Hariyama,Fighting,209,114,302,20%,6%,Bullet PunchCounter,Close CombatDynamic PunchHeavy SlamSuperpowerFrustration (Shadow)Return (Purified)
0298,Azurill,Normal Fairy,36,71,137,10%,4%,BubbleSplash,Body SlamBubble BeamIce Beam
0299,Nosepass,Rock,82,215,102,20%,9%,Rock ThrowSpark,Rock BlastRock SlideThunderboltFrustration (Shadow)Return (Purified)
0300,Skitty,Normal,84,79,137,50%,10%,Feint AttackTackle,DigDisarming VoiceWild Charge
0301,Delcatty,Normal,132,127,172,20%,6%,CharmFeint AttackZen Headbutt,Disarming VoicePlay RoughWild Charge
0302,Sableye,Dark Ghost,141,136,137,20%,7%,Feint AttackShadow Claw,Foul PlayPower GemShadow SneakFrustration (Shadow)Return (Purified)
0302,Sableye Mega Sableye,Dark Ghost,151,216,137,20%,7%,,
0303,Mawile,Steel Fairy,155,141,137,50%,9%,AstonishBiteFairy WindFire FangIce Fang,Iron HeadPlay RoughPower-Up PunchVise GripFrustration (Shadow)Return (Purified)
